,Год,Цена,Район,Ковид,Санкции,Ключевая ставка ЦБ РФ (%),ИПЦ (% к декабрю предыдущего года),Доллар
421,2003,27627.936688196467,91,0,0,14.0,112.0,29.4545
422,2003,28620.35225048924,17,0,0,14.0,112.0,29.4545
423,2003,25795.950368148355,37,0,0,14.0,112.0,29.4545
424,2003,65488.56548856549,4,0,0,14.0,112.0,29.4545
425,2003,27414.60031212069,53,0,0,14.0,112.0,29.4545
426,2003,27084.3989769821,22,0,0,14.0,112.0,29.4545
427,2003,40148.148148148146,106,0,0,14.0,112.0,29.4545
428,2003,40162.29970428443,31,0,0,14.0,112.0,29.4545
429,2003,29689.298043728424,113,0,0,14.0,112.0,29.4545
430,2003,31039.293187630785,90,0,0,14.0,112.0,29.4545
